id,title,type,review
1,Building Knowledge Graphs from Survey Data: A Use Case in the Social Sciences,In-Use Paper,https://openreview.net/forum?id=S1e9IeRwUE
2,Leveraging Ontologies for Knowledge Graph Schemas,Full Research Paper,https://openreview.net/forum?id=B1xnsmvaUE
3,Building a Knowledge Graph for Products and Solutions in the Automation Industry,In-Use Paper,https://openreview.net/forum?id=ByldIMlEDV
4,RocketRML - A NodeJS implementation of a use-case specific RML mapper,In-Use Paper,https://openreview.net/forum?id=SklznXbEDV
5,Mapping languages: analysis of comparative characteristics,Position Paper,https://openreview.net/forum?id=HklWL4erv4
